#;application/x-mathcad
%;application/x-trash
123;application/vnd.lotus-1-2-3
h4;application/x-hdf
h5;application/x-hdf
h;text/x-chdr
hal;application/vnd.hal+xml
hbc;application/vnd.fints
hbci;application/vnd.fints
hdf4;application/x-hdf
hdf5;application/x-hdf
hdf;application/x-hdf
hdr;image/vnd.radiance
hdt;application/vnd.hdt
heldxml;application/held+xml
help;application/x-helpfile
hep;application/x-hep
hgl;application/vnd.hp-hpgl
hh;text/x-c++hdr
hin;x-chemical/x-hin
hlb;text/x-script
hlp;application/x-winhlp
hp;text/x-c++hdr
hpg;application/vnd.hp-hpgl
hpgl;application/vnd.hp-hpgl
hpi;application/vnd.hp-hpid
hpid;application/vnd.hp-hpid
hpp;text/x-c++hdr
hps;application/vnd.hp-hps
hqx;application/mac-binhex40
hs;text/x-haskell
hta;application/x-hta
htc;text/x-component
htke;application/vnd.kenameaapp
htm;text/html
html;text/html
htmls;text/html
htmlx;text/html
htt;text/x-webviewhtml
htx;text/html
hvd;application/vnd.yamaha.hv-dic
hvp;application/vnd.yamaha.hv-voice
hvs;application/vnd.yamaha.hv-script
hwp;application/x-hwp
hwt;application/x-hwt
hxx;text/x-c++hdr
i2g;application/vnd.intergeo
ic1;application/vnd.commerce-battelle
ica;application/vnd.commerce-battelle
icb;image/x-tga
icc;application/vnd.commerce-battelle
icd;application/vnd.commerce-battelle
ice;x-conference/x-cooltalk
icf;application/vnd.commerce-battelle
icm;application/vnd.iccprofile
icns;image/x-icns
ico;image/vnd.microsoft.icon
ics;text/calendar
icz;text/calendar
idc;text/plain
idl;text/x-idl
ief;image/ief
iefs;image/ief
ifb;text/calendar
iff;image/x-ilbm
ifm;application/vnd.shana.informed.formdata
iges;model/iges
igl;application/vnd.igloader
igm;application/vnd.insors.igm
ign;application/vnd.coreos.ignition+json
ignition;application/vnd.coreos.ignition+json
igs;model/iges
igx;application/vnd.micrografx-igx
iif;application/vnd.shana.informed.interchange
iii;application/x-iphone
ilbm;image/x-ilbm
ima;application/x-ima
imagemap;application/x-imagemap
imap;application/x-imagemap
ime;text/x-imelody
imf;application/vnd.imagemeter.folder+zip
img;application/vnd.efi-img
imgcal;application/vnd.3lightssoftware.imagescal
imi;application/vnd.imagemeter.image+zip
imp;application/vnd.accpac.simply.imp
ims;application/vnd.ms-ims
imscc;application/vnd.ims.imsccv1p1
imy;text/x-imelody
in;text/plain
inf;application/x-inf
info;application/x-info
ini;text/plain
ink;application/inkml+xml
inkml+xml;application/inkml+xml
inkml;application/inkml+xml
inp;x-chemical/x-gamess-input
ins;application/x-internet-signup
install;application/x-install-instructions
iota;application/vnd.astraea-software.iota
ip;application/x-ip2
ipfix;application/ipfix
ipk;application/vnd.shana.informed.package
iptables;text/x-iptables
irm;application/vnd.ibm.rights-management
irp;application/vnd.irepository.package+xml
ism;model/vnd.gs-gdl
iso9660;application/x-cd-image
iso;application/vnd.efi-iso
isp;application/x-internet-signup
ist;x-chemical/x-isostar
istr;x-chemical/x-isostar
isu;video/x-isvideo
it87;application/x-it87
it;audio/x-it
itp;application/vnd.shana.informed.formtemplate
its;application/its+xml
iv;application/x-inventor
ivp;application/vnd.immervision-ivp
ivr;x-i-world/x-i-vrml
ivu;application/vnd.immervision-ivu
ivy;application/x-livescreen
jad;text/vnd.sun.j2me.app-descriptor
jam;application/vnd.jam
jar;application/vnd.osgi.bundle
jav;text/x-java-source
java;text/x-java
jceks;application/x-java-jce-keystore
jcm;application/x-java-commerce
jdx;x-chemical/x-jcamp-dx
jfif-tbnl;image/jpeg
jfif;image/jpeg
jisp;application/vnd.jisp
jks;application/x-java-keystore
jls;image/jls
jlt;application/vnd.hp-jlyt
jmz;application/x-jmol
jng;image/x-jng
jnlp;application/x-java-jnlp-file
joda;application/vnd.joost.joda-archive
jp2;image/jp2
jpe;image/jpeg
jpeg;image/jpeg
jpf;image/jpx
jpg2;image/jp2
jpg;image/jpeg
jpgm;image/jpm
jpgv;video/jpeg
jpm;image/jpm
jpr;application/x-jbuilder-project
jps;image/x-jps
jpx;image/jpx
jrd;application/jrd+json
js;application/javascript
jsm;application/javascript
json-patch;application/json-patch+json
json;application/json
jsonld;application/vnd.ims.lis.v2.result+json
jsonml;application/x-jsonml+json
jtd;text/vnd.esmertec.theme-descriptor
jut;image/x-jutvision
k25;image/x-kodak-k25
kar;audio/x-midi
karbon;application/vnd.kde.karbon
kcm;application/vnd.nervana
kdc;image/x-kodak-kdc
kdelnk;application/x-desktop
kexi;application/x-kexiproject-sqlite2
kexic;application/x-kexi-connectiondata
kexis;application/x-kexiproject-shortcut
key;application/pgp-keys
kfo;application/vnd.kde.kformula
kia;application/vnd.kidspiration
kil;application/x-killustrator
kin;x-chemical/x-kinemage
kino;application/smil+xml
kml;application/vnd.google-earth.kml+xml
kmz;application/vnd.google-earth.kmz
kne;application/vnd.kinar
knp;application/vnd.kinar
kom;application/vnd.fints
kon;application/vnd.kde.kontour
koz;audio/vnd.audiokoz
kpm;application/x-kpovmodeler
kpr;application/vnd.kde.kpresenter
kpt;application/vnd.kde.kpresenter
kpxx;application/vnd.ds-keypoint
kra;application/x-krita
ks;application/x-java-keystore
ksh;application/x-ksh
ksp;application/vnd.kde.kspread
ktr;application/vnd.kahootz
ktx;image/ktx
ktz;application/vnd.kahootz
kud;application/x-kugar
kwd;application/vnd.kde.kword
kwt;application/vnd.kde.kword
l16;audio/l16
la;audio/x-nspaudio
lam;audio/x-liveaudio
lasjson;application/vnd.las.las+json
lasxml;application/vnd.las.las+xml
latex;application/x-latex
lbc;audio/ilbc
lbd;application/vnd.llamagraphics.life-balance.desktop
lbe;application/vnd.llamagraphics.life-balance.exchange+xml
lbm;image/x-ilbm
ldif;text/x-ldif
les;application/vnd.hhe.lesson-player
lgr;application/lgr+xml
lha;application/x-lha
lhs;text/x-literate-haskell
lhx;application/octet-stream
lhz;application/x-lhz
lin;application/x-bbolin
link66;application/vnd.route66.link66+xml
list3820;application/vnd.ibm.modcap
list;text/plain
listafp;application/vnd.ibm.modcap
lma;audio/x-nspaudio
lmp;model/vnd.gs-gdl
lnk;application/x-ms-shortcut
log;text/x-log
lostsyncxml;application/lostsync+xml
lostxml;application/lost+xml
lrf;application/octet-stream
lrm;application/vnd.ms-lrm
lrv;video/mp4
lrz;application/x-lrzip
lsf;video/x-la-asf
lsp;application/x-lisp
lst;text/plain
lsx;video/x-la-asf
ltf;application/vnd.frogans.ltf
ltx;text/x-tex
lua;text/x-lua
luac;application/x-lua-bytecode
lvp;audio/vnd.lucent.voice
lwo;image/x-lwo
lwob;image/x-lwo
lwp;application/vnd.lotus-wordpro
lws;image/x-lws
lxf;application/lxf
